month,genre,region,share
2024-05,Hip-Hop,LatAm,0.0945
2024-06,Hip-Hop,LatAm,0.0844
2024-07,Hip-Hop,LatAm,0.0741
2024-08,Hip-Hop,LatAm,0.067
2024-09,Hip-Hop,LatAm,0.0817
2024-10,Hip-Hop,LatAm,0.0624
2024-11,Hip-Hop,LatAm,0.0505
2024-12,Hip-Hop,LatAm,0.0453
2025-01,Hip-Hop,LatAm,0.0219
2025-02,Hip-Hop,LatAm,0.079
2025-03,Hip-Hop,LatAm,0.0446
2025-04,Hip-Hop,LatAm,0.0371
2025-05,Hip-Hop,LatAm,0.0355
2025-06,Hip-Hop,LatAm,0.033
2023-10,Latin,LatAm,0.8915
2023-11,Latin,LatAm,0.8616
2023-12,Latin,LatAm,0.8634
2024-01,Latin,LatAm,0.8091
2024-02,Latin,LatAm,0.8129
2024-03,Latin,LatAm,0.7983
2024-04,Latin,LatAm,0.7796
2024-05,Latin,LatAm,0.7952
2024-06,Latin,LatAm,0.7811
2024-07,Latin,LatAm,0.8355
2024-08,Latin,LatAm,0.7855
2024-09,Latin,LatAm,0.7327
2024-10,Latin,LatAm,0.7237
2024-11,Latin,LatAm,0.6554
2024-12,Latin,LatAm,0.6576
2025-01,Latin,LatAm,0.8068
2025-02,Latin,LatAm,0.7305
2025-03,Latin,LatAm,0.7388
2025-04,Latin,LatAm,0.7746
2025-05,Latin,LatAm,0.722
2025-06,Latin,LatAm,0.6983
2023-10,Pop,LatAm,0.0581
2023-11,Pop,LatAm,0.0654
2023-12,Pop,LatAm,0.0337
2024-01,Pop,LatAm,0.0519
2024-02,Pop,LatAm,0.0345
2024-03,Pop,LatAm,0.0552
2024-04,Pop,LatAm,0.0553
2024-05,Pop,LatAm,0.0423
2024-06,Pop,LatAm,0.0931
2024-07,Pop,LatAm,0.0788
2024-08,Pop,LatAm,0.1253
2024-09,Pop,LatAm,0.1564
2024-10,Pop,LatAm,0.1592
2024-11,Pop,LatAm,0.2116
2024-12,Pop,LatAm,0.209
2025-01,Pop,LatAm,0.1354
2025-02,Pop,LatAm,0.1523
2025-03,Pop,LatAm,0.1508
2025-04,Pop,LatAm,0.114
2025-05,Pop,LatAm,0.1272
2025-06,Pop,LatAm,0.1453
2023-10,R&B,LatAm,0.0014
2023-11,R&B,LatAm,0.0019
2024-01,R&B,LatAm,0.0001
2024-02,R&B,LatAm,0.0001
2024-03,R&B,LatAm,0.0023
2024-04,R&B,LatAm,0.0037
2024-05,R&B,LatAm,0.0003
2024-06,R&B,LatAm,0.0014
2025-02,R&B,LatAm,0.0001
2023-10,Country,US,0.1716
2023-11,Country,US,0.1893
2023-12,Country,US,0.1916
2024-01,Country,US,0.2268
2024-02,Country,US,0.2799
2024-03,Country,US,0.2016
2024-04,Country,US,0.1681
2024-05,Country,US,0.1886
2024-06,Country,US,0.3157
2024-07,Country,US,0.4131
2024-08,Country,US,0.3237
2024-09,Country,US,0.2711
2024-10,Country,US,0.2492
2024-11,Country,US,0.1791
2024-12,Country,US,0.029
2025-01,Country,US,0.0828
2025-02,Country,US,0.0619
2025-03,Country,US,0.0845
2025-04,Country,US,0.1587
2025-05,Country,US,0.353
2025-06,Country,US,0.2935
2023-12,Electronic,US,0.0063
2024-01,Electronic,US,0.0362
2024-10,Electronic,US,0.0243
2024-11,Electronic,US,0.0466
2025-02,Electronic,US,0.0059
2025-03,Electronic,US,0.0025
2025-05,Electronic,US,0.0047
2025-06,Electronic,US,0.0102
2023-10,Hip-Hop,US,0.2929
2023-11,Hip-Hop,US,0.2706
2023-12,Hip-Hop,US,0.3221
2024-01,Hip-Hop,US,0.4378
2024-02,Hip-Hop,US,0.467
2024-03,Hip-Hop,US,0.4238
2024-04,Hip-Hop,US,0.2847
2024-05,Hip-Hop,US,0.2894
2024-06,Hip-Hop,US,0.2423
2024-07,Hip-Hop,US,0.1634
2024-08,Hip-Hop,US,0.1268
2024-09,Hip-Hop,US,0.1537
2024-10,Hip-Hop,US,0.1268
2024-11,Hip-Hop,US,0.125
2024-12,Hip-Hop,US,0.186
2025-01,Hip-Hop,US,0.1248
2025-02,Hip-Hop,US,0.267
2025-03,Hip-Hop,US,0.3379
2025-04,Hip-Hop,US,0.262
2025-05,Hip-Hop,US,0.1854
2025-06,Hip-Hop,US,0.2355
2023-10,Latin,US,0.1236
2023-11,Latin,US,0.0597
2023-12,Latin,US,0.0211
2024-01,Latin,US,0.0142
2024-04,Latin,US,0.0333
2024-05,Latin,US,0.0344
2024-06,Latin,US,0.0387
2024-07,Latin,US,0.0476
2024-08,Latin,US,0.0256
2024-09,Latin,US,0.0224
2024-12,Latin,US,0.0024
2025-01,Latin,US,0.2991
2025-02,Latin,US,0.1357
2025-03,Latin,US,0.0708
2025-04,Latin,US,0.0406
2025-05,Latin,US,0.0354
